uid,mtime,uname,vipType,level,sex,sign
437000736,1631577364,bizika_bili,0,0,保密,
474829738,1632571674,爱吃小孩的马蜂君,0,3,保密,呜呜呜，开学了 12岁平平无奇的音游人，50粉直接每日一更 
130292419,1632144209,诶才几十块,0,5,保密,
1349913838,1632141922,BV1GJ411x7h7-,0,2,男,我在尝试关注每个人
642526349,1632333977,单分子mass,1,3,保密, 
2074073865,1631892003,挑战极限的小达,1,2,保密,
1497877050,1631763638,bili_31246545915,0,1,保密,
86568721,1632147761,咕利多,1,5,男,属相:鸽
398569817,1631876280,一只野生的SS猹,1,4,保密,啊这...
140514877,1631913234,_Knsor,2,5,保密,吃好喝好睡好学好
2104605936,1630826186,程序员jokereven,0,4,男,"生活到处是磨难,为难我的人多了,你算老几。"
1712202860,1630741072,CR400BF-C-5033,2,4,保密,喜欢公交，集邮，飞机，地铁，轮船，房车，旅游，美食，天文地理，收藏的学生党，还是一枚火车迷，铁路区up，非常反对铁败！！！
456905432,1631259460,笑川大佐,1,4,保密,八嘎呀路
413787846,1630848819,hkhflying,0,2,保密,
2668676,1630900571,DFGSA,0,4,保密,
494698686,1631285742,我是帝君厨,0,2,保密,帝君么么么么么么
629079811,1631684834,xie_deng,0,3,保密,
18749932,1631037619,qqqssswww,2,4,保密,
409641899,1630905921,A-SwordFish,1,4,保密,一条......鱼?!
450064010,1631301630,子湘-,2,4,保密,
417033768,1630810386,38537727923_bili,0,4,保密,
109593749,1631178821,扣扣小猫,2,5,保密,真实猛男
480945902,1632209183,xi喜羊羊,0,3,保密,
66828248,1632415918,notggg,0,3,保密,
290431355,1630746213,上单外蒙,1,4,保密,陈睿
360985,1630820038,一般路过乃汐,2,6,保密,努力获得超能力中！
157262416,1630861639,阿七今天没长肉,0,3,保密,
329057052,1630732163,hr071211,1,5,保密,
431216674,1631232142,赤脚大仙8877,0,3,保密,
417036424,1631799020,卡卡对方过后的规划,0,0,保密,
477906043,1632532415,CFM嗜魔,0,2,保密,
490458635,1631411916,冰河之刃,0,4,保密,资深软件工程师一枚。
385983519,1631890118,北帆海,0,4,保密,
499510029,1632105851,安柏静三o_O,1,5,保密,猴猴，你又在查成分哦，休息一下好不好。
113268331,1630982595,别跑大黄猫,0,5,保密,
219642759,1630810925,cstylejun,0,3,保密,
319186081,1631553512,我没幼稚完zyb,0,0,保密,
608819080,1630731296,白糖伯符,0,4,保密,
402284085,1632239995,送小孩喝胡辣汤,0,4,男,重视“谢谢”“加油”和“最喜欢” 有朝一日要成为一个善良的人
6084046,1631853177,frankkkkk-,1,5,男,业余指弹爱好者
361382799,1631522061,10274591801_bili,0,4,保密,will be somebody one day
356152412,1632077992,LF小天,0,2,保密,嗯……
551903592,1632070707,二岁能抬头,1,4,保密,
65425557,1632380438,Smilegoogo,1,2,保密,
2159480,1631880390,早见凉风风,1,5,保密,搬运工
350920476,1632102485,Cyalt,1,5,保密,什么都不会
21061489,1631805679,迂了回家吔饭,2,6,保密,我好懒不想写什么
454481666,1631147648,喵了个瓶,1,3,保密,
524582479,1631418719,老滚mod情报中心,2,5,保密,紧跟n网，放送最近最全的mod资讯 魂系游戏爱好者 要求搬运进群1109965282
352455412,1632163236,刘壬诘,1,4,男,开学了，不能多更视频了。我要好好学习（手动滑稽）
356624001,1631122415,圣者法典,0,4,保密,ⓘ该账号封禁中
332886359,1631326838,第一泼猴,0,0,保密,
143371044,1630775559,BO_oc,2,5,保密,
1501851063,1631715189,B-W-Eugen,0,2,女,
41897840,1631533412,改昵称要6枚硬币_,0,5,保密,
174045031,1630858703,狂神小粉丝,1,4,保密,来b站看狂神说
292232627,1631122937,星空lin,0,4,保密,
21308857,1632137612,卟想回忆,0,2,保密,
261537386,1631519113,bingzi190,1,0,保密,
701876562,1632137450,DreamSec,0,3,保密,浮生若梦，为欢几何
323549350,1630995735,跳舞的猫咪酱,0,4,保密,1
525382897,1631250954,MC丶凋零,1,4,男,国服最菜瑞科，QQ名：超级皮卡超人2号(男)ⓘ该账号正在封禁中
677360008,1630815388,bili_706451394,1,2,保密,
269167,1631450649,网友小螃蟹,2,6,保密,
225166842,1630652291,生有可恋lysS,0,5,保密,这个人很什么，什么都没有写╮（﹀＿﹀）╭
1500488322,1630810891,你我亦是憨批,0,2,保密,ⓘ该账号封禁中
483210376,1630899387,胖胖的黄瓜,0,2,保密,
105916662,1632574512,开开十加三,0,4,保密,
1259167724,1630918484,fish_study,0,2,保密,
241059736,1631712004,xingweijiaer,1,4,保密,
612431524,1632017004,长在北方的一根枯草,0,4,保密,目前使用临时头像（该头像为自己拍摄！）
12454020,1630659315,叫我至贱,2,6,保密,没有签名，一个懒pi而已
351429846,1631100536,旧生南府,2,4,男,
371042310,1631547103,kN1e1ght,0,5,保密,暂时处于dreaming和coding的叠加态
1355974765,1632057174,_zyg,0,2,保密,
400363817,1630853016,无尽业火伴莲生,2,4,保密,
1006571238,1632462636,四叶草狗,0,2,保密,我是不会写这个东西的
1336606524,1632459696,AIway19,0,2,保密,Artificial Intelligence 人工智能画家来了，我的名字叫，“画圣”。各位大家，知名画家，你们失业了别怪我只怪这世界变化快
392723116,1631013923,超完美的自己,1,5,保密,
502860505,1631075075,w1nd2,0,4,保密,
382967826,1631093259,我是基佬lzj,0,4,保密,
39178268,1630603441,bgh17552,1,3,保密,
382163819,1630580627,Hanser憨八嘎,1,5,男,喜欢憨色是多么幸运的事！！！ 俺わ永遠にhanser推し！！！
379330368,1630594658,75917278458_bili,0,2,保密,
8753340,1630623983,我真的是小萝卜,2,4,保密,
1948700640,1632567957,黃泉殘月,1,4,男,人吃土一世，土吃人一回。
405041671,1630486351,王力宏出新歌我再改名,0,4,保密,
638423612,1632473873,唬啸屾,0,4,保密,emmmmmmmmm 
315619958,1630944319,蒲公英hhhhhh,0,0,保密,
406679730,1630928092,58577943018_bili,0,3,保密,
2901694,1631675546,叫我皮丘大人,2,5,保密,
273365740,1630799630,嘎man,1,4,保密,
407037399,1632324414,焕-冰封之心,2,5,男,一个普通的游戏up～喜欢“考古”，但不会(应该）打扰到老用户~
173537814,1632129456,vvaazz,1,3,保密,
440835197,1631065626,w1nd_2,0,3,保密,
451603943,1631458429,bigpeng93,0,0,保密,
392216761,1630766770,0x17,2,4,保密,
626709178,1632550151,dyhdhvn,1,4,保密,
88073728,1631089091,Predawn黎明,0,3,男,一直以来都以网络为主，万物皆可游戏。每天更新游戏视频，给大家看我的进度，我是精英霸主，感谢关注！ 
27865063,1630907389,anuo⑤,2,5,保密,
2054021268,1630536760,yangzb7419,0,0,保密,
36899359,1630573614,实验者2020,0,4,保密,
62878992,1631605668,零辰尘封,2,5,男,呵呵
401351721,1630998186,键盘手_无言祖,1,4,保密,
1951115844,1631451816,虚bi,0,2,保密,
28585318,1630525394,codexc,1,5,保密,
23682702,1630493826,今日份的音乐做好了,1,5,保密,弹琴扰民一级棒。
387279691,1630384832,叫我啊陨就好,1,5,保密,ⓘ 该账号封禁中 收藏夹有学习资料哦
57156374,1630162482,a1293334778,0,2,保密,
504057389,1630127379,xu於於,0,0,保密,
1853975119,1630030673,紫C是大帅比,1,3,女,我恨饭圈
418398831,1630399281,这是何物,1,4,保密,
238779066,1630427564,叫我淘米缸,1,5,保密,
694628145,1630168104,bili_23369645950,0,0,保密,
28366233,1630049040,叶枫2016,0,4,保密,
23549347,1630254813,公瑾华业,2,6,保密,"一片狼藉的城市中 人们簇拥着那位被毁坏却如获新生的""小丑"" "
679329322,1630265211,纸猫哦,0,4,保密,
1699430785,1630380250,如梦令999,0,0,保密,
499793023,1630321635,䋠約鮀啱,1,4,保密,
1741191438,1630241599,Be-love-d,0,3,保密,。
272478347,1630108494,Watson422zzz,2,4,保密,
518499756,1630315049,我去年买了个橘子,0,0,保密,
1530274056,1630323077,8sans,0,3,男,CSGO
279322797,1630042465,渝大牙,1,4,保密,非常喜欢嘎嘣脆die
543835238,1630290828,DPYZA,0,3,保密,
103839082,1629983606,会哭的大白,0,4,保密,
1976666813,1630312924,billiblii_233,0,2,保密,
441626124,1630249470,广骏,0,3,保密,
253405721,1630223057,天恋晶滢,0,4,保密,
1385905054,1630061861,-心动便是劫-,0,3,保密, 
1503959663,1630108852,朱运武,1,2,保密,
667223308,1630329459,新人不知道是不是UP,2,3,保密,
1526290881,1630024657,留眀壑,0,2,男,
584322,1630043117,Kanonsu,1,6,女,&ldquo; Lie chi te la di hul &rdquo;
285069763,1630150343,哀的美敦书是最后通牒,1,5,保密,开心就好
40193915,1630386097,钢笔的水,1,5,保密,
1240091938,1630298550,bili_1240091938,0,2,保密,เมื่อแม่ของคุณตาย
168507802,1629863506,sky_dk,0,5,男,做个爱学习的好同学吧！
382037703,1630577967,ゾロアーク的zeroark,0,4,保密,
30212202,1630041133,和泉染暮_Official,2,5,女,喜欢的话说就请一直做下去吧~
356764308,1630051263,風に流離い,1,5,保密,这个人很不神秘，什么都写
344187766,1630204085,兴趣广泛的龙套哥,1,4,保密,
394067817,1629889578,无www无,1,4,保密,
374940350,1630000420,zwvv88,0,4,保密,
15120021,1630042293,s09g谷歌摸鱼工程师,1,5,保密,猫狗双全~虎狼之家~ Google Tech Lead of VNS
329398189,1630517868,逸梦ザ,1,5,男,欧皇附体
611165433,1630249238,bili_63335685083,0,0,保密,
354268989,1629975900,叫我浮梦,1,4,保密,懒得写了
497045960,1629959887,chencis,1,3,女, 我记住了他的气味、他的样子、他的声音，但我始终不知道他的名字。
674642465,1630401214,一个很无聊的人-,0,4,保密,这个人很懒，只写了这句话
19425515,1629993105,Mutant_煜,1,4,保密,
4058927,1629943328,POKE-Channel,2,6,男,搞画画和搞l2d建模 稿排不上了不接嘞
6776691,1630161623,老杰了,1,6,男,
434248776,1630208872,紫当归,1,3,保密,一期一会~
441648218,1630276831,落水失忆,1,4,保密,来和我一起吧
356878195,1630051998,论天体的运行,2,4,保密,
357873489,1629878391,这值6币的名字给我了,1,4,保密,
196363494,1630234112,JO级生物鸽斯拉,1,5,男,啥都敢往DNA立刻的人
359036872,1629855866,想做欧皇的小怪兽鸭,1,4,女,这个人是一个lsp，一位高中生，梦想学医，没了
1151666331,1629968839,顾敏自怜,1,2,保密,
596914810,1629960674,不死图腾_狗头形态,1,4,保密,
278705554,1630574445,856974568,0,3,保密,
404590280,1630043979,生无可恋的医生,1,4,保密,自己上辈子可能是个鸽子吧……
393684029,1629871228,58329423541_bili,0,3,保密,Every day is the best day!
95637951,1630219428,Der明,1,5,男,把苦难讲成段子
166373197,1629823368,叭唧一脸口水,1,5,女,
1687899642,1629975074,山风屿霖,0,2,保密,别搞偷袭 别玩不起 别当小垃圾 要有实力 要敢跟我正面对抗
6744682,1629879572,蒸氢火鸡,2,6,保密,性能恶化工程师
434874853,1630022787,hippum,0,3,保密,
690991661,1630054116,JoshuaJD,1,2,保密,当你的才华撑不起你的野心的时候，就应该静下心来学习提升！
315645847,1630048919,シバ達也_official,2,5,男,
1693943663,1629991501,老黄瓜刷绿漆-,0,0,保密,
356551405,1629851225,灵魂牵梦萦绕脖子,0,2,保密,
514708666,1630031344,bili_12263611950,0,3,男,精灵宝可梦，就决定是你了！
698223718,1629818822,温柔の厨子,1,4,男,我是旧时代の残党，新时代……还有能载我的船吗？  大海贼时代，忍者的时代，奇妙的替身世界，尸兄危机  ——致二次元的青春
1809640407,1629813074,又是折磨队友的一天,0,2,保密,爷是天选，也是唯一！
414279126,1629942011,linsistbq,0,3,保密,
668190832,1631575856,时间刃,0,4,男,
273738311,1629820906,这种艺术我很难领悟,0,4,保密,
358187332,1629806480,害怕的橘校长,1,5,保密,我不管那些故事多励志，名人有多伟大，我就是赖在床上不想起来
327572371,1629788521,一位牌佬,2,5,保密,那种事不要啊！B站全是无良kyxxs什么的，我希望B站永远是一片净土，在我入站后至少持续十年吧！ 
93446031,1629749878,姑拉风,2,5,男,她走了
516314184,1629774628,蚌埠住了QAQ,1,4,保密,为世界上所有的美好而战
443962572,1629773425,夏目漱石的猫-,0,3,保密,长大之后，为了更加理解阳光，可以有点乌云
88724354,1629736316,双happiness,0,4,保密,
240179459,1629763093,嫖之呼吸壹之形白嫖,1,4,保密,
387772180,1629700117,老耿的,0,3,保密,
470163,1629677916,徐晓康゛,1,5,保密,
503557028,1629772388,尖叫议会,0,3,保密,
1082670021,1629770251,sondezrL,1,2,保密,
406812166,1629733695,Evid哥,0,0,保密,
386850557,1629726111,周文王Cc,2,5,保密,
353537998,1629783449,轮椅当做电竞椅,2,5,保密,
285220131,1629800998,花6个硬币改了个名子,2,4,男,“游戏越来越真实，现实越来越虚假”
66967901,1629662666,matt_qi,0,2,保密,
651338739,1629634999,bili_34916935229,0,0,保密,
501781354,1629794592,骑咸鱼的kai骑士,1,4,保密,我 就 是 整 活 高 手！（ ’ - ’ * )
502210745,1629639446,bili_明月棹孤舟,2,0,保密,
337783388,1629719142,Euler-欧拉,1,5,保密,e^iπ + 1 = 0
1609097691,1629598521,大宇0925,0,0,保密,
15355367,1629506549,link_98,1,5,保密,
36081154,1629553238,Sakuraと小怪獣,2,5,保密,倦兮倦兮，鬼骨面君，来路已渺，回首成空，断舟浮海，相望孤城，犹记曰昔年恩重，恨水长东。
1300917030,1629543649,狮院的Student,0,3,男,
650510330,1629609690,菠萝大面包好吃喵,1,3,保密,
14953913,1629602885,鬼殇无言,2,6,男,这个人很神秘，什么都没有写_(:τ」∠)_
22294861,1629551190,你好火山,2,5,保密,
395031570,1629530457,Cabriter,0,4,保密,业余中的业余up主
378000244,1629648180,86441175436_bili,1,3,保密,
35873716,1629482742,减肥记210,2,4,保密,记录下从210斤开始的减肥历程，希望能帮到你们呀
39577263,1629557057,萌柠青,1,5,保密,
179337049,1629522415,合适的昵称555,1,5,保密,这个替身使者high死了 什么都没有写
646738668,1629724343,账号已注销9999999,0,4,保密,
392548315,1629480452,芙蘭逹max,2,5,男,愿中国青年都摆脱冷气，只是向上走，不必听自暴自弃者流的话。能做事的做事，能发声的发声。有一分热，发一分光，就令萤火一般，也可……(字数不够)
1561573826,1629541144,bili_17483250587,1,2,保密,
16379419,1629549792,caocao485,0,3,保密,
82391946,1629709071,答案命运,0,5,保密,
1985113176,1629724164,送我五秒,1,2,保密,
8669319,1629641334,神之子kof,0,5,保密,每逢月亮就会想起我
405209807,1629419647,王小布001,0,3,保密,
37503426,1629553648,我永远喜欢樱花庄,2,5,保密,
1513740181,1629393783,小鱼戋戋,0,2,保密,
102595528,1630437143,哔哔哔滴滴滴滴d,1,4,保密,
22950265,1629390398,小先生是也,2,5,保密,
277650245,1629423013,后羿出手,1,5,保密,反者道之动
523426126,1629392322,在座的各位都是derder,0,3,保密,
520478556,1629424147,太宰治的人间论,0,2,保密,
411035421,1629720038,春雨之中,2,4,保密,我是个DD
89493842,1629533521,pluto-宸熙,1,5,保密,
455407898,1629619013,在羽翼上写诗,1,4,保密,这个人很神秘，什么都不想写
19188167,1629727822,㊣Rose,2,5,保密,
481957871,1629423314,二岩猯藏单推厨,1,5,男,小鬼罢了，喜欢画画，今年13岁，喜欢吃饭， 喜欢cos喜欢各种游戏 不混圈子，无聊透顶的“圈子规矩”都去死吧，上学退网，想看什么视频就留言吧
626679653,1629647501,D_KVYAT,0,4,男,上海普陀的一位高中生铁迷、赛车迷、飞友
9135737,1629541122,写代码的文科生,2,5,男,下班后写代码的文科生，双鱼男。 十年市场营销人，曾经的蓝天救援队队员。 偶尔看书、喝酒、骑车，知道几颗星星的名字。
328976881,1629440961,绿地awa,1,4,男,玩各种游戏的小菜鸡~
36901048,1629429609,星瞳suki,2,5,男,
2907649,1629528327,薯条不沾酱,1,6,保密,
1507575783,1629793585,周一------,1,4,保密,好家伙
16858392,1629553271,一位天才艺术家,1,5,保密,
1772576043,1629793715,吉野新日暮,0,2,保密,这个人很神秘，什么都不想写
452298804,1629795403,法兰西的王冠,0,3,保密,被你发现了哦。
43514235,1629438022,书有径,0,4,保密,码中有路勤为径
454814634,1629805449,G_M_H,0,3,保密,"Talk is cheap, Show me the code.--Linus"
231718246,1629390260,木木桑05,0,2,保密,
674334821,1631340174,牧氡,1,3,男,"影之诗萌新交流群:248193776,欢迎各位萌新进群。 影之诗萌新，时不时会上传影之诗精彩对局，各位喜欢的话可以关注一下哦"
493485829,1630041806,无敌_菌---,2,4,保密,God is a girl
354603094,1630287015,枫叶哗哗233,2,5,男,新世纪非酋战士，抽奖绝缘体，首个狂抄10遍牛津英语词典不成者。  可能是个天才哦！！！——枫叶哗哗233
407695912,1629909300,silence-xue,0,4,保密,
1578585653,1629774503,囖土司,1,3,保密,
